"","scientificName","countryCode","year"
"540","Capsicum annuum var. annuum","CR",1977
"541","Capsicum annuum var. annuum","CR",1977
"542","Capsicum annuum var. annuum","CR",1978
"543","Capsicum annuum var. annuum","CR",1949
"544","Capsicum annuum var. annuum","CR",1971
"545","Capsicum L.","CR",1973
"546","Capsicum annuum L.","CR",2015
"547","Capsicum L.","CR",2013
"548","Capsicum annuum L.","US",2023
"549","Capsicum annuum L.","ES",2023
"550","Capsicum annuum L.","EC",2023
"551","Capsicum chacoense Hunz.","PY",2021
"552","Capsicum annuum var. glabriusculum (Dunal) Heiser & Pickersgill","US",2022
"553","Capsicum dimorphum (Miers) Kuntze","CO",2023
"554","Capsicum annuum L.","EC",2023
"555","Capsicum annuum L.","US",2023
"556","Capsicum annuum L.","EC",2023
"557","Capsicum annuum L.","US",2023
"558","Capsicum annuum L.","EC",2023
"559","Capsicum annuum L.","US",2023
"560","Capsicum L.","CO",1979
"561","Capsicum annuum L.","CO",1986
"562","Capsicum annuum L.","CO",1986
"563","Capsicum annuum L.","CO",2021
"564","Capsicum annuum L.","CO",2015
"565","Capsicum rhomboideum (Dunal) Kuntze","CO",2021
"566","Capsicum rhomboideum (Dunal) Kuntze","CO",2021
"567","Capsicum annuum L.","CO",2009
"568","Capsicum annuum L.","CO",2013
"569","Capsicum L.","CO",1979
"570","Capsicum L.","CO",1979
"571","Capsicum L.","CO",1979
"572","Capsicum annuum var. aviculare (Dierb.) D' Arcy & Eschbaugh","CO",2019
"573","Capsicum L.","CO",1978
"574","Capsicum rhomboideum (Dunal) Kuntze","CO",1962
"575","Capsicum annuum L.","CO",2020
"576","Capsicum annuum L.","CO",2014
"577","Capsicum annuum L.","CO",2021
"578","Capsicum baccatum L.","BR",2022
"579","Capsicum parvifolium Sendtn.","BR",2021
"580","Capsicum flexuosum Sendtn.","BR",2016
"581","Capsicum chinense Jacq.","BR",2010
"582","Capsicum chinense Jacq.","BR",2010
"583","Capsicum chinense Jacq.","BR",2010
"584","Capsicum chinense Jacq.","BR",2010
"585","Capsicum chinense Jacq.","BR",2010
"586","Capsicum baccatum var. pendulum (Willd.) Eshbaugh","BR",2010
"587","Capsicum chinense Jacq.","BR",2010
"588","Capsicum chinense Jacq.","BR",2010
"589","Capsicum chinense Jacq.","BR",2010
"590","Capsicum chinense Jacq.","BR",2010
"591","Capsicum chinense Jacq.","BR",2010
"592","Capsicum chinense Jacq.","BR",2010
"593","Capsicum chinense Jacq.","BR",2010
"594","Capsicum chinense Jacq.","BR",2010
"595","Capsicum chinense Jacq.","BR",2010
"596","Capsicum chinense Jacq.","BR",2010
"597","Capsicum chinense Jacq.","BR",2010
"598","Capsicum chinense Jacq.","BR",2010
"599","Capsicum chinense Jacq.","BR",2010
"600","Capsicum chinense Jacq.","BR",2010
"601","Capsicum chinense Jacq.","BR",2010
"602","Capsicum chinense Jacq.","BR",2010
"603","Capsicum chinense Jacq.","BR",2010
"604","Capsicum chinense Jacq.","BR",2010
"605","Capsicum chinense Jacq.","BR",2010
"606","Capsicum chinense Jacq.","BR",2010
"607","Capsicum chinense Jacq.","BR",2010
"608","Capsicum baccatum var. pendulum (Willd.) Eshbaugh","BR",2010
"609","Capsicum chinense Jacq.","BR",2010
"610","Capsicum chinense Jacq.","BR",2010
"611","Capsicum chinense Jacq.","BR",2010
"612","Capsicum chinense Jacq.","BR",2010
"613","Capsicum chinense Jacq.","BR",2010
"614","Capsicum chinense Jacq.","BR",2010
"615","Capsicum chinense Jacq.","BR",2010
"616","Capsicum chinense Jacq.","BR",2010
"617","Capsicum chinense Jacq.","BR",2010
"618","Capsicum chinense Jacq.","BR",2010
"619","Capsicum chinense Jacq.","BR",2010
"620","Capsicum chinense Jacq.","BR",2010
"621","Capsicum chinense Jacq.","BR",2010
"622","Capsicum chinense Jacq.","BR",2010
"623","Capsicum chinense Jacq.","BR",2010
"624","Capsicum chinense Jacq.","BR",2010
"625","Capsicum chinense Jacq.","BR",2010
"626","Capsicum chinense Jacq.","BR",2010
"627","Capsicum chinense Jacq.","BR",2010
"628","Capsicum chinense Jacq.","BR",2010
"629","Capsicum chinense Jacq.","BR",2010
"630","Capsicum chinense Jacq.","BR",2010
"631","Capsicum chinense Jacq.","BR",2010
"632","Capsicum chinense Jacq.","BR",2010
"633","Capsicum chinense Jacq.","BR",2010
"634","Capsicum chinense Jacq.","BR",2010
"635","Capsicum chinense Jacq.","BR",2010
"636","Capsicum chinense Jacq.","BR",2010
"637","Capsicum chinense Jacq.","BR",2010
"638","Capsicum chinense Jacq.","BR",2010
"639","Capsicum chinense Jacq.","BR",2010
