"","scientificName","countryCode","year"
"646","Ocimum basilicum L.","MX",2021
"647","Ocimum basilicum L.","MX",2021
"648","Ocimum basilicum L.","BR",2021
"649","Ocimum basilicum L.","MX",2021
"650","Ocimum basilicum L.","IN",2020
"651","Ocimum basilicum L.","CG",2020
"652","Ocimum basilicum L.","BR",2021
"653","Ocimum basilicum L.","BR",2021
"654","Ocimum basilicum L.","BR",2021
"655","Ocimum basilicum L.","KH",2021
"656","Ocimum basilicum L.","ID",2021
"657","Ocimum basilicum L.","IN",2021
"658","Ocimum basilicum L.","US",2021
"659","Ocimum basilicum L.","TH",2021
"660","Ocimum basilicum L.","IN",2021
"661","Ocimum basilicum L.","EC",2021
"662","Ocimum basilicum L.","IN",2021
